State County,City,Property Name,Property Numbe Site Number Category,Division District,Property Name Property Numbe Site Number,Unnamed: 0,Category,Property Numbe Site Number
WV Jefferson County,RIPPON,JEFFERSON CO TRANSMITTER,G03WV0070 02 BD/DR,LRD LRL,,,,
WV Kanawha County,SOUTH,NAVAL ORDNANCE PLANT,G03WV0291 01 CON/HTRW,LRD LRL,,,,
,CHARLESTON,,,,,,,
WV Kanawha County,SOUTH,NAVAL ORDNANCE PLANT,G03WV0291 02 CON/HTRW,LRD LRL,,,,
38 Sites in Wyoming,,,,,,,,
WY Natrona County,19 MI NW OF,CASPER PRE BOMB RGE NO 3,B08WY0429 01 MMRP,NWD NWO,,,,
,CASPER,,,,,,,
WY Converse County,25 MI NW,CASPER PRE BOMB RGE NO 1,B08WY0427 01 MMRP,NWD NWO,,,,
,DOUGLAS,,,,,,,
WY Natrona County,30 MI NW CASPER,CASPER AIR TO GROUND GUN RGE,B08WY0425 01 MMRP,NWD NWO,,,,
WY Natrona County,32 MI NW OF,CASPER PRE BOMB RGE NO 4,B08WY0430 01 MMRP,NWD NWO,,,,
,CASPER,,,,,,,
WY Converse County,64 MI NE OF,CASPER PRE BOMB RGE NO 2,B08WY0428 01 MMRP,NWD NWO,,,,
,CASPER,,,,,,,
WY Natrona County,7 MI NW OF,CASPER GRO GUN RGE,B08WY0426 01 MMRP,NWD NWO,,,,
,CASPER,,,,,,,
WY Natrona County,CASPER,CASPER AFB,B08WY0424 01 CON/HTRW,NWD NWO,,,,
WY Natrona County,CASPER,CASPER AFB,B08WY0424 02 HTRW,NWD NWO,,,,
WY Natrona County,CASPER,CASPER AFB,B08WY0424 03 MMRP,NWD NWO,,,,
WY Laramie County,CHEYENNE,FE WARREN AFB FAC SITE 1,B08WY0464 01 CON/HTRW,NWD NWO,,,,
WY Laramie County,CHEYENNE,FE WARREN AFB FAC SITE 1,B08WY0464 02 HTRW,NWD NWO,,,,
WY Laramie County,CHEYENNE,FE WARREN AFB FAC SITE 2,B08WY0465 01 CON/HTRW,NWD NWO,,,,
WY Laramie County,CHEYENNE,FE WARREN AFB FAC SITE 2,B08WY0465 02 HTRW,NWD NWO,,,,
WY Laramie County,CHEYENNE,FE WARREN AFB FAC SITE 3,B08WY0466 01 CON/HTRW,NWD NWO,,,,
364 Sites in Alaska,,,,,,,,
AK Yukon-koyukuk Census Area,160 MILES NE OF,,,POD POA,PORCUPINE RIVER DEW STAGING CAMP F10AK0994,1.0,CON/HTRW,
,YUKON,,,,,,,
AK Yukon-koyukuk Census Area,160 MILES NE OF,,,POD POA,PORCUPINE RIVER DEW STAGING CAMP F10AK0994,2.0,HTRW,
,YUKON,,,,,,,
AK Yukon-koyukuk Census Area,160 MILES NE OF,,,POD POA,PORCUPINE RIVER DEW STAGING CAMP F10AK0994,3.0,BD/DR,
,YUKON,,,,,,,
AK Nome Census Area,"7 MI N OF NOME,",,,POD POA,ANVIL MOUNTAIN AWS F10AK1018,0.0,BD/DR,
,AK,,,,,,,
AK Aleutians West Census Area,ADAK,,,POD POA,DAVIS AFB F10AK0434,1.0,CON/HTRW,
AK Aleutians West Census Area,ADAK,,,POD POA,DAVIS AFB F10AK0434,2.0,MMRP,
AK Aleutians West Census Area,ADAK,,,POD POA,DAVIS AFB F10AK0434,3.0,MMRP,
AK Aleutians West Census Area,ADAK,,,POD POA,DAVIS AFB F10AK0434,4.0,MMRP,
AK Aleutians West Census Area,ADAK,,,POD POA,DAVIS AFB F10AK0434,5.0,MMRP,
AK Aleutians West Census Area,ADAK,,,POD POA,DAVIS AFB F10AK0434,6.0,MMRP,
AK Aleutians West Census Area,ADAK ISLAND,,,POD POA,CAPE YAKAK RADIO STA F10AK0040,2.0,CON/HTRW,
AK Aleutians West Census Area,ADAK ISLAND,,,POD POA,CAPE YAKAK RADIO STA F10AK0040,3.0,HTRW,
AK Aleutians West Census Area,"ADAK, EAST OF",,,POD POA,GREAT SITKIN ISL F10AK0114,3.0,HTRW,
AK Aleutians West Census Area,"ADAK, EAST OF",,,POD POA,GREAT SITKIN ISL F10AK0114,4.0,MMRP,
AK Aleutians West Census Area,"ADAK,",AMCHITKA AF AUXILIARY FIELD,,POD POA,,,CON/HTRW,F10AK0858 02
,SOUTHWEST OF,,,,,,,
AK Aleutians West Census Area,"ADAK,",AMCHITKA AF AUXILIARY FIELD,,POD POA,,,HTRW,F10AK0858 03
,SOUTHWEST OF,,,,,,,
AK Aleutians West Census Area,"ADAK,",AMCHITKA AF AUXILIARY FIELD,,POD POA,,,MMRP,F10AK0858 04
,SOUTHWEST OF,,,,,,,
AK Aleutians West Census Area,"ADAK, WEST OF",TANAGA ISL,,POD POA,,,HTRW,F10AK0228 01
AK Aleutians West Census Area,"ADAK, WEST OF",TANAGA ISL,,POD POA,,,CON/HTRW,F10AK0228 02
AK Aleutians West Census Area,"ADAK, WEST OF",TANAGA ISL,,POD POA,,,MMRP,F10AK0228 03
AK Aleutians West Census Area,AGATTU,AGATTU ISLAND,,POD POA,,,HTRW,F10AK0025 03
AK Aleutians East Borough,"AKUTAN, SW OF",AKUTAN,,POD POA,,,CON/HTRW,F10AK0018 02
AK Aleutians East Borough,"AKUTAN, SW OF",AKUTAN,,POD POA,,,HTRW,F10AK0018 03
AK Aleutians West Census Area,ALEUTIAN,SEMISOPOCHNOI ISL,,POD POA,,,HTRW,F10AK0208 01
,ISLANDS,,,,,,,
AK Aleutians East Borough,ALEUTIAN,TIGALDA ISLAND,,POD POA,,,CON/HTRW,F10AK0376 01
,"ISLANDS,",,,,,,,
AK Aleutians West Census Area,ALEUTIAN,FORT LEARNARD,,POD POA,,,CON/HTRW,F10AK0017 01
,"ISLANDS,",,,,,,,
AK Aleutians West Census Area,ALEUTIAN,FORT LEARNARD,,POD POA,,,MMRP,F10AK0017 02
,"ISLANDS,",,,,,,,
AK Aleutians West Census Area,ALEUTIAN,FORT LEARNARD,,POD POA,,,MMRP,F10AK0017 03
AK Aleutians West Census Area,ALEUTIAN,KISKA ISL GARR(B & L),,POD POA,,,BD/DR,F10AK0137 01
,"ISLANDS,",,,,,,,
AK Aleutians West Census Area,ALEUTIAN,KISKA ISL GARR(B & L),,POD POA,,,HTRW,F10AK0137 03
,"ISLANDS,",,,,,,,
AK Aleutians West Census Area,ALEUTIAN,KISKA ISL GARR(B & L),,POD POA,,,MMRP,F10AK0137 04
,"ISLANDS,",,,,,,,
AK Aleutians West Census Area,ALEUTIAN,OGLIUGA ISL,,POD POA,,,CON/HTRW,F10AK0180 01
,"ISLANDS,",,,,,,,
AK Aleutians West Census Area,ALEUTIAN,OGLIUGA ISL,,POD POA,,,HTRW,F10AK0180 02
,"ISLANDS,",,,,,,,
AK Anchorage Borough,ANCHORAGE,ANCHORAGE ACS STO ANX,,POD POA,,,HTRW,F10AK0529 01
AK Matanuska-susitna Borough,"ANCHORAGE, N.",NIKE SITE BAY,,POD POA,,,CON/HTRW,F10AK0850 02
,OF,,,,,,,
AK Matanuska-susitna Borough,"ANCHORAGE, N.",NIKE SITE BAY,,POD POA,,,HTRW,F10AK0850 03
,OF,,,,,,,
AK Matanuska-susitna Borough,"ANCHORAGE, N.",NIKE SITE BAY,,POD POA,,,CON/HTRW,F10AK0850 06
,OF,,,,,,,
AK Matanuska-susitna Borough,"ANCHORAGE, NW.",SUSITNA GUNNERY RNG,,POD POA,,,MMRP,F10AK0225 06
,OF,,,,,,,
AK Matanuska-susitna Borough,"ANCHORAGE, NW.",SUSITNA GUNNERY RNG,,POD POA,,,MMRP,F10AK0225 08
,OF,,,,,,,
AK Matanuska-susitna Borough,"ANCHORAGE, NW.",SUSITNA GUNNERY RNG,,POD POA,,,MMRP,F10AK0225 09
AK Anchorage Borough,"ANCHORAGE, SE.",CHUGACH MTS-SHIP CREEK,,POD POA,,,CON/HTRW,F10AK0549 01
,OF,,,,,,,
AK Bethel Census Area,ANIAK AIRPORT,ANIAK ARPT,,POD POA,,,CON/HTRW,F10AK0499 01
AK Bethel Census Area,ANIAK AIRPORT,ANIAK ARPT,,POD POA,,,PRP/HTRW,F10AK0499 02
AK Aleutians West Census Area,ATKA ISLAND,ATKA AF AUX FLD,,POD POA,,,CON/HTRW,F10AK0851 01
AK Aleutians West Census Area,ATKA ISLAND,ATKA AF AUX FLD,,POD POA,,,HTRW,F10AK0851 02
AK Aleutians West Census Area,ATKA ISLAND,ATKA AF AUX FLD,,POD POA,,,BD/DR,F10AK0851 03
AK Aleutians West Census Area,ATKA ISLAND,ATKA AF AUX FLD,,POD POA,,,MMRP,F10AK0851 04
AK Aleutians West Census Area,Atka Island,ATKA CAPE KUDUGNAX,,POD POA,,,BD/DR,F10AK1063 01
AK Aleutians West Census Area,Atka Island,ATKA CAPE KUDUGNAX,,POD POA,,,CON/HTRW,F10AK1063 02
AK Aleutians West Census Area,Atka Island,ATKA CAPE KUDUGNAX,,POD POA,,,HTRW,F10AK1063 03
AK Aleutians West Census Area,ATTU ISLAND,ATTU ISL MIL SITES,,POD POA,,,CON/HTRW,F10AK0055 02
AK Aleutians West Census Area,ATTU ISLAND,ATTU ISL MIL SITES,,POD POA,,,HTRW,F10AK0055 03
AK Aleutians West Census Area,ATTU ISLAND,ATTU ISL MIL SITES,,POD POA,,,MMRP/CWM,F10AK0055 04
AK Aleutians West Census Area,ATTU ISLAND,ATTU ISL MIL SITES,,POD POA,,,MMRP,F10AK0055 05
AK Aleutians West Census Area,ATTU ISLAND,ATTU ISL MIL SITES,,POD POA,,,MMRP,F10AK0055 06
AK Aleutians West Census Area,ATTU ISLAND,ATTU ISL MIL SITES,,POD POA,,,MMRP,F10AK0055 07
AK North Slope Borough,BARROW,BARROW LANDFILL,,POD POA,,,PRP/HTRW,F10AK1021 01
AK North Slope Borough,BARROW,ELSON LAGOON,,POD POA,,,BD/DR,F10AK0020 01
AK North Slope Borough,"BARROW, EAST OF",CAPE SIMPSON DEW-POW A,,POD POA,,,BD/DR,F10AK0021 01
AK North Slope Borough,"BARROW, EAST OF",CAPE SIMPSON DEW-POW A,,POD POA,,,CON/HTRW,F10AK0021 02
AK North Slope Borough,"BARROW, EAST OF",CAPE SIMPSON DEW-POW A,,POD POA,,,HTRW,F10AK0021 03
AK North Slope Borough,"BARROW, EAST OF",KOGRU DEW (POW B),,POD POA,,,CON/HTRW,F10AK0022 02
AK North Slope Borough,"BARROW, EAST OF",KOGRU DEW (POW B),,POD POA,,,HTRW,F10AK0022 03
AK North Slope Borough,"BARROW, EAST OF",KOGRU DEW (POW B),,POD POA,,,HTRW,F10AK0022 04
AK North Slope Borough,"BARROW, EAST OF",KOGRU DEW (POW B),,POD POA,,,HTRW,F10AK0022 05
AK North Slope Borough,"BARROW, IN & E.",POINT BARROW RADIO STA,,POD POA,,,BD/DR,F10AK0472 01
,OF,,,,,,,
AK Bethel Census Area,"BETHEL, SOUTH",BETHEL ARPT,,POD POA,,,BD/DR,F10AK0514 01
,OF,,,,,,,
AK Bethel Census Area,"BETHEL, SOUTH",BETHEL ARPT,,POD POA,,,CON/HTRW,F10AK0514 02
,OF,,,,,,,
AK Bethel Census Area,"BETHEL, SOUTH",BETHEL ARPT,,POD POA,,,HTRW,F10AK0514 03
,OF,,,,,,,
AK Bethel Census Area,"BETHEL, SOUTH",BETHEL ARPT,,POD POA,,,CON/HTRW,F10AK0514 04
,OF,,,,,,,
AK Bethel Census Area,"BETHEL, WEST OF",BETHEL BIA HDQRS,,POD POA,,,CON/HTRW,F10AK0510 01
AK Aleutians East Borough,COLD BAY,COLD BAY - FORT RANDALL,,POD POA,,,CON/HTRW,F10AK0845 01
AK Aleutians East Borough,COLD BAY,COLD BAY - FORT RANDALL,,POD POA,,,HTRW,F10AK0845 02
AK Aleutians East Borough,COLD BAY,COLD BAY - FORT RANDALL,,POD POA,,,CON/HTRW,F10AK0845 03
AK Aleutians East Borough,COLD BAY,COLD BAY - FORT RANDALL,,POD POA,,,MMRP,F10AK0845 04
AK Aleutians East Borough,COLD BAY,COLD BAY - FORT RANDALL,,POD POA,,,CON/HTRW,F10AK0845 05
AK Aleutians East Borough,COLD BAY,COLD BAY - FORT RANDALL,,POD POA,,,CON/HTRW,F10AK0845 06
AK Aleutians East Borough,"COLD BAY, SOUTH",CATON ISLAND,,POD POA,,,CON/HTRW,F10AK0029 01
,OF,,,,,,,
AK Aleutians East Borough,"COLD BAY, SOUTH",CATON ISLAND,,POD POA,,,HTRW,F10AK0029 02
,OF,,,,,,,
AK Aleutians East Borough,"COLD BAY, SOUTH",SANAK ISLAND ARMY AWS,,POD POA,,,CON/HTRW,F10AK0204 01
,OF,,,,,,,
AK Aleutians East Borough,"COLD BAY, SOUTH",SANAK ISLAND ARMY AWS,,POD POA,,,HTRW,F10AK0204 02
,OF,,,,,,,
AK Valdez-cordova Census Area,CORDOVA,CORDOVA AF,,POD POA,,,PRP/HTRW,F10AK0084 05
AK Prince Of Wales-outer,CRAIG,CRAIG ACS SITE,,POD POA,,,CON/HTRW,F10AK0085 01
Ketchikan Census Area,,,,,,,,
AK Prince Of Wales-outer,CRAIG,CRAIG ACS SITE,,POD POA,,,HTRW,F10AK0085 03
Ketchikan Census Area,,,,,,,,
AK Southeast Fairbanks Census,DELTA JUNCTION,GERSTLE RIVER EXPANSION AREA,,POD POA,,,HTRW,F10AK0984 03
Area,,,,,,,,
AK Southeast Fairbanks Census,DELTA JUNCTION,GERSTLE RIVER EXPANSION AREA,,POD POA,,,MMRP/CWM,F10AK0984 04
AK Aleutians West Census Area,DUTCH HARBOR,CHERNOFSKI HBR SUP&STO,,POD POA,,,BD/DR,F10AK0013 01
AK Aleutians West Census Area,DUTCH HARBOR,CHERNOFSKI HBR SUP&STO,,POD POA,,,CON/HTRW,F10AK0013 02
AK Aleutians West Census Area,DUTCH HARBOR,CHERNOFSKI HBR SUP&STO,,POD POA,,,HTRW,F10AK0013 03
AK Aleutians East Borough,"DUTCH HARBOR,",UNALGA ISL NAV RADIO,,POD POA,,,CON/HTRW,F10AK0015 02
,NE,,,,,,,
AK Aleutians East Borough,"DUTCH HARBOR,",UNALGA ISL NAV RADIO,,POD POA,,,HTRW,F10AK0015 03
,NE,,,,,,,
AK Aleutians West Census Area,"DUTCH HARBOR,",DRIFTWOOD BAY RR STA,,POD POA,,,CON/HTRW,F10AK0016 02
,NW.,,,,,,,
AK Aleutians West Census Area,"DUTCH HARBOR,",FORT GLENN,,POD POA,,,BD/DR,F10AK0298 01
,W OF,,,,,,,
AK Aleutians West Census Area,"DUTCH HARBOR,",FORT GLENN,,POD POA,,,CON/HTRW,F10AK0298 02
,W OF,,,,,,,
AK Aleutians West Census Area,"DUTCH HARBOR,",FORT GLENN,,POD POA,,,HTRW,F10AK0298 03
,W OF,,,,,,,
AK Aleutians West Census Area,"DUTCH HARBOR,",FORT GLENN,,POD POA,,,MMRP,F10AK0298 04
,W OF,,,,,,,
AK Aleutians West Census Area,"DUTCH HARBOR,",FORT GLENN,,POD POA,,,MMRP/CWM,F10AK0298 05
,W OF,,,,,,,
AK Aleutians West Census Area,"DUTCH HARBOR,",FORT GLENN,,POD POA,,,MMRP,F10AK0298 06
,W OF,,,,,,,
AK Aleutians West Census Area,"DUTCH HARBOR,",FORT GLENN,,POD POA,,,MMRP,F10AK0298 07
AK Aleutians West Census Area,"DUTCH HARBOR,",FORT GLENN,,POD POA,,,MMRP,F10AK0298 08
,W OF,,,,,,,
AK Aleutians West Census Area,"DUTCH HARBOR,",FORT GLENN,,POD POA,,,MMRP,F10AK0298 09
,W OF,,,,,,,
AK Aleutians West Census Area,"DUTCH HARBOR,",FORT GLENN,,POD POA,,,MMRP,F10AK0298 10
,W OF,,,,,,,
AK Aleutians West Census Area,"DUTCH HARBOR,",FORT GLENN,,POD POA,,,MMRP,F10AK0298 11
,W OF,,,,,,,
AK Aleutians West Census Area,"DUTCH HARBOR,",FORT GLENN,,POD POA,,,MMRP,F10AK0298 12
,W OF,,,,,,,
AK Aleutians West Census Area,"DUTCH HARBOR,",FORT GLENN,,POD POA,,,MMRP,F10AK0298 13
,W OF,,,,,,,
AK Anchorage Borough,EKLUTNA,EKLUTNA ARMY SITES,,POD POA,,,HTRW,F10AK0097 01
AK Fairbanks North Star,FAIRBANKS,BADGER RD (ARC SUR YD),,POD POA,,,HTRW,F10AK0799 03
Borough,,,,,,,,
AK Fairbanks North Star,FAIRBANKS,EIELSON FARM ROAD AAA SITE,,POD POA,,,HTRW,F10AK1059 01
Borough,,,,,,,,
AK Fairbanks North Star,FAIRBANKS,EIELSON FARM ROAD AAA SITE,,POD POA,,,CON/HTRW,F10AK1059 02
Borough,,,,,,,,
AK Fairbanks North Star,"FAIRBANKS, E. OF",FAIRBANKS AACS AND ACS,,POD POA,,,BD/DR,F10AK0855 01
Borough,,,,,,,,
AK Fairbanks North Star,"FAIRBANKS, N. OF",NIKE SITE LOVE,,POD POA,,,BD/DR,F10AK0854 01
AK Fairbanks North Star,"FAIRBANKS, N. OF",NIKE SITE LOVE,,POD POA,,,CON/HTRW,F10AK0854 02
Borough,,,,,,,,
AK Fairbanks North Star,"FAIRBANKS, N. OF",PEDRO DOME,,POD POA,,,CON/HTRW,F10AK0751 02
Borough,,,,,,,,
AK Fairbanks North Star,"FAIRBANKS, N. OF",PEDRO DOME,,POD POA,,,HTRW,F10AK0751 03
Borough,,,,,,,,
AK Fairbanks North Star,"FAIRBANKS, N. OF",PEDRO DOME,,POD POA,,,CON/HTRW,F10AK0751 04
Borough,,,,,,,,
AK Fairbanks North Star,"FAIRBANKS, N. OF",PEDRO DOME,,POD POA,,,PRP/HTRW,F10AK0751 05
Borough,,,,,,,,
AK Fairbanks North Star,"FAIRBANKS, SE.",NIKE SITE JIG,,POD POA,,,BD/DR,F10AK0853 01
Borough,OF,,,,,,,
AK Matanuska-susitna Borough,"GLENNALLEN,",LAKE LOUISE,,POD POA,,,BD/DR,F10AK0847 01
,NW. OF,,,,,,,
AK Valdez-cordova Census Area,GULKANA,GULKANA PREP & ARMY,,POD POA,,,CON/HTRW,F10AK0319 01
AK Valdez-cordova Census Area,GULKANA,GULKANA PREP & ARMY,,POD POA,,,MMRP,F10AK0319 03
AK Skagway-hoonah-angoon,GUSTAVUS,GUSTAVUS ARPT,,POD POA,,,HTRW,F10AK0116 01
Census Area,,,,,,,,
AK Haines Borough,HAINES,HAINES FAIRBANKS PIPELINE,,POD POA,,,HTRW,F10AK1016 01
AK Haines Borough,HAINES,HAINES FAIRBANKS PIPELINE,,POD POA,,,CON/HTRW,F10AK1016 02
AK Haines Borough,HAINES,HAINES FAIRBANKS PIPELINE,,POD POA,,,CON/HTRW,F10AK1016 03
AK Haines Borough,HAINES,HAINES FAIRBANKS PIPELINE,,POD POA,,,CON/HTRW,F10AK1016 04
AK Haines Borough,HAINES,HAINES FAIRBANKS PIPELINE,,POD POA,,,CON/HTRW,F10AK1016 05
AK Haines Borough,HAINES,HAINES FAIRBANKS PIPELINE,,POD POA,,,CON/HTRW,F10AK1016 06
AK Haines Borough,HAINES,HAINES FAIRBANKS PIPELINE,,POD POA,,,CON/HTRW,F10AK1016 07
AK Haines Borough,HAINES,HAINES FAIRBANKS PIPELINE,,POD POA,,,CON/HTRW,F10AK1016 08
AK Haines Borough,HAINES,HAINES FAIRBANKS PIPELINE,,POD POA,,,CON/HTRW,F10AK1016 09
AK Haines Borough,HAINES,HAINES FAIRBANKS PIPELINE,,POD POA,,,CON/HTRW,F10AK1016 10
AK Haines Borough,HAINES,HAINES FAIRBANKS PIPELINE,,POD POA,,,CON/HTRW,F10AK1016 11
AK Haines Borough,HAINES,HAINES FAIRBANKS PIPELINE,,POD POA,,,CON/HTRW,F10AK1016 12
AK Haines Borough,HAINES,HAINES FAIRBANKS PIPELINE,,POD POA,,,CON/HTRW,F10AK1016 13
AK Haines Borough,HAINES,HAINES FAIRBANKS PIPELINE,,POD POA,,,CON/HTRW,F10AK1016 14
AK Haines Borough,HAINES,HAINES FAIRBANKS PIPELINE,,POD POA,,,CON/HTRW,F10AK1016 15
AK Haines Borough,HAINES,HAINES FAIRBANKS PIPELINE,,POD POA,,,CON/HTRW,F10AK1016 16
AK Haines Borough,HAINES,HAINES FAIRBANKS PIPELINE,,POD POA,,,CON/HTRW,F10AK1016 17
AK Haines Borough,HAINES,HAINES FAIRBANKS PIPELINE,,POD POA,,,CON/HTRW,F10AK1016 18
AK Haines Borough,HAINES-CANADA,HAINES MILITARY CUTOFF ROAD,,POD POA,,,HTRW,F10AK0566 03
,ROW,,,,,,,
AK Kenai Peninsula Borough,"HOMER, NE. OF",OHLSON MT,,POD POA,,,HTRW,F10AK0856 01
AK Kenai Peninsula Borough,"HOMER, NE. OF",OHLSON MT,,POD POA,,,CON/HTRW,F10AK0856 02
AK Skagway-hoonah-angoon,"HOONAH, SE.",HOONAH RRS,,POD POA,,,BD/DR,F10AK0122 01
Census Area,EDGE,,,,,,,
AK Skagway-hoonah-angoon,"HOONAH, SE.",HOONAH RRS,,POD POA,,,CON/HTRW,F10AK0122 02
Census Area,EDGE,,,,,,,
AK Skagway-hoonah-angoon,"HOONAH, SE.",HOONAH RRS,,POD POA,,,HTRW,F10AK0122 03
Census Area,EDGE,,,,,,,
AK Skagway-hoonah-angoon,"HOONAH, SE.",HOONAH RRS,,POD POA,,,PRP/HTRW,F10AK0122 04
Census Area,EDGE,,,,,,,
AK North Slope Borough,KAKTOVIK,BARTER ISLAND DEW STATION,,POD POA,,,CON/HTRW,F10AK0995 01
AK North Slope Borough,"KAKTOVIK, NEAR",LAKE PETERS,,POD POA,,,BD/DR,F10AK0259 01
AK North Slope Borough,"KAKTOVIK, NEAR",LAKE PETERS,,POD POA,,,CON/HTRW,F10AK0259 02
AK North Slope Borough,"KAKTOVIK, NEAR",LAKE PETERS,,POD POA,,,HTRW,F10AK0259 03
AK North Slope Borough,"KAKTOVIK, SW. OF",COLLINSON POINT DEW,,POD POA,,,BD/DR,F10AK0006 01
AK North Slope Borough,"KAKTOVIK, SW. OF",COLLINSON POINT DEW,,POD POA,,,CON/HTRW,F10AK0006 02
AK North Slope Borough,"KAKTOVIK, SW. OF",COLLINSON POINT DEW,,POD POA,,,HTRW,F10AK0006 03
AK Kenai Peninsula Borough,KENAI,WILDWOOD AFS,,POD POA,,,CON/HTRW,F10AK0251 01
AK Kenai Peninsula Borough,KENAI,WILDWOOD AFS,,POD POA,,,BD/DR,F10AK0251 02
AK Kenai Peninsula Borough,KENAI,WILDWOOD AFS,,POD POA,,,HTRW,F10AK0251 03
AK Kenai Peninsula Borough,KENAI,WILDWOOD AFS,,POD POA,,,HTRW,F10AK0251 04
AK Kenai Peninsula Borough,KENAI,WILDWOOD AFS,,POD POA,,,HTRW,F10AK0251 05
AK Kodiak Island Borough,KODIAK,CAPE CHINIAK TRACK STA,,POD POA,,,BD/DR,F10AK0279 01
AK Kodiak Island Borough,KODIAK,CAPE CHINIAK TRACK STA,,POD POA,,,CON/HTRW,F10AK0279 02
AK Kodiak Island Borough,KODIAK,CAPE CHINIAK TRACK STA,,POD POA,,,HTRW,F10AK0279 03
AK Kodiak Island Borough,KODIAK,FORT TIDBALL/LONG ISLAND,,POD POA,,,BD/DR,F10AK0280 01
AK Kodiak Island Borough,KODIAK,FORT TIDBALL/LONG ISLAND,,POD POA,,,CON/HTRW,F10AK0280 02
AK Kodiak Island Borough,KODIAK,FORT TIDBALL/LONG ISLAND,,POD POA,,,HTRW,F10AK0280 03
AK Kodiak Island Borough,KODIAK,KODIAK NAVY/ARMY,,POD POA,,,HTRW,F10AK1007 01
AK Kodiak Island Borough,KODIAK,KODIAK NAVY/ARMY,,POD POA,,,HTRW,F10AK1007 02
AK Kodiak Island Borough,KODIAK,KODIAK NAVY/ARMY,,POD POA,,,HTRW,F10AK1007 04
AK Kodiak Island Borough,KODIAK,KODIAK NAVY/ARMY,,POD POA,,,HTRW,F10AK1007 05
AK Kodiak Island Borough,KODIAK,KODIAK NAVY/ARMY,,POD POA,,,HTRW,F10AK1007 06
AK Kodiak Island Borough,KODIAK,KODIAK NAVY/ARMY,,POD POA,,,CON/HTRW,F10AK1007 07
AK Kodiak Island Borough,KODIAK,KODIAK NAVY/ARMY,,POD POA,,,CON/HTRW,F10AK1007 08
AK Kodiak Island Borough,KODIAK,KODIAK NAVY/ARMY,,POD POA,,,HTRW,F10AK1007 09
AK Kodiak Island Borough,KODIAK,KODIAK NAVY/ARMY,,POD POA,,,HTRW,F10AK1007 10
AK Kodiak Island Borough,KODIAK,KODIAK NAVY/ARMY,,POD POA,,,HTRW,F10AK1007 11
AK Kodiak Island Borough,KODIAK,KODIAK NAVY/ARMY,,POD POA,,,HTRW,F10AK1007 12
AK Kodiak Island Borough,KODIAK,SITKINAK ISL RADIO REL,,POD POA,,,BD/DR,F10AK0287 01
AK Kodiak Island Borough,KODIAK ISLAND,BRUHN PT. (KODIAK ISL),,POD POA,,,HTRW,F10AK0901 03
AK Kodiak Island Borough,KODIAK ISLAND,BUSKIN BCH-KODIAK ISL,,POD POA,,,BD/DR,F10AK0902 01
AK Kodiak Island Borough,KODIAK ISLAND,BUSKIN BCH-KODIAK ISL,,POD POA,,,HTRW,F10AK0902 03
AK Kodiak Island Borough,KODIAK ISLAND,BUSKIN BCH-KODIAK ISL,,POD POA,,,CON/HTRW,F10AK0902 04
AK Kodiak Island Borough,KODIAK ISLAND,BUSKIN BCH-KODIAK ISL,,POD POA,,,HTRW,F10AK0902 05
AK Kodiak Island Borough,KODIAK ISLAND,BUSKIN BCH-KODIAK ISL,,POD POA,,,HTRW,F10AK0902 06
AK Kodiak Island Borough,KODIAK ISLAND,BUSKIN BCH-KODIAK ISL,,POD POA,,,HTRW,F10AK0902 07
AK Kodiak Island Borough,"KODIAK, SW. OF",BURMA ROAD,,POD POA,,,BD/DR,F10AK0291 01
AK Kodiak Island Borough,"KODIAK, SW. OF",BURMA ROAD,,POD POA,,,MMRP,F10AK0291 02
AK Kodiak Island Borough,"KODIAK, SW. OF",BURMA ROAD,,POD POA,,,HTRW,F10AK0291 03
AK Kodiak Island Borough,"KODIAK, SW. OF",BURMA ROAD,,POD POA,,,MMRP,F10AK0291 05
AK Kodiak Island Borough,"KODIAK, SW. OF",BURMA ROAD,,POD POA,,,MMRP,F10AK0291 06
AK Kodiak Island Borough,"KODIAK, SW. OF",BURMA ROAD,,POD POA,,,MMRP,F10AK0291 07
AK Kodiak Island Borough,"KODIAK, SW. OF",BURMA ROAD,,POD POA,,,MMRP,F10AK0291 08
AK Kodiak Island Borough,"KODIAK, SW. OF",KODIAK CG SUP CNTR,,POD POA,,,BD/DR,F10AK0840 01
AK Northwest Arctic Borough,"KOTZEBUE, NW.",KRUSENSTERN RR ANX,,POD POA,,,BD/DR,F10AK0035 01
,OF,,,,,,,
AK Northwest Arctic Borough,"KOTZEBUE, NW.",KRUSENSTERN RR ANX,,POD POA,,,CON/HTRW,F10AK0035 02
AK Northwest Arctic Borough,"KOTZEBUE, NW.",KRUSENSTERN RR ANX,,POD POA,,,HTRW,F10AK0035 03
,OF,,,,,,,
AK Matanuska-susitna Borough,LAKE LOUISE,LAKE LOUISE AIRFIELD,,POD POA,,,CON/HTRW,F10AK0997 01
AK Yukon-koyukuk Census Area,MCGRATH,"WALSETH AFB,MCGRATH",,POD POA,,,CON/HTRW,F10AK0247 02
AK Yukon-koyukuk Census Area,MCGRATH,"WALSETH AFB,MCGRATH",,POD POA,,,HTRW,F10AK0247 03
AK Prince Of Wales-outer,"METLAKATLA, S.",ANNETTE ISL LAND FLD,,POD POA,,,CON/HTRW,F10AK0051 01
Ketchikan Census Area,OF,,,,,,,
AK Prince Of Wales-outer,"METLAKATLA, S.",ANNETTE ISL LAND FLD,,POD POA,,,HTRW,F10AK0051 02
Ketchikan Census Area,OF,,,,,,,
