State County,City,Property Name Property Numbe Site Number,Unnamed: 0,Category,Division District,Property Name,Property Numbe Site Number
AK Nome Census Area,"NOME, SE. OF",,,CON/HTRW,POD POA,CAPE NOME ACS,F10AK0293 02
AK Nome Census Area,"NOME, SE. OF",,,HTRW,POD POA,CAPE NOME ACS,F10AK0293 03
AK Nome Census Area,"NOME,",,,BD/DR,POD POA,NOME AREA DEF REGION,F10AK0052 01
,SURROUNDING,,,,,,
AK Nome Census Area,"NOME,",,,CON/HTRW,POD POA,NOME AREA DEF REGION,F10AK0052 02
,SURROUNDING,,,,,,
AK Nome Census Area,"NOME,",,,HTRW,POD POA,NOME AREA DEF REGION,F10AK0052 03
AK Nome Census Area,"NOME,",,,HTRW,POD POA,NOME AREA DEF REGION,F10AK0052 04
,SURROUNDING,,,,,,
AK Nome Census Area,"NOME,",,,HTRW,POD POA,NOME AREA DEF REGION,F10AK0052 05
,SURROUNDING,,,,,,
AK Nome Census Area,"NOME,",,,HTRW,POD POA,NOME AREA DEF REGION,F10AK0052 06
,SURROUNDING,,,,,,
AK Nome Census Area,"NOME,",,,HTRW,POD POA,NOME AREA DEF REGION,F10AK0052 07
,SURROUNDING,,,,,,
AK Nome Census Area,"NOME,",,,HTRW,POD POA,NOME AREA DEF REGION,F10AK0052 08
,SURROUNDING,,,,,,
AK Nome Census Area,"NOME,",,,HTRW,POD POA,NOME AREA DEF REGION,F10AK0052 09
,SURROUNDING,,,,,,
AK Nome Census Area,"NOME,",,,HTRW,POD POA,NOME AREA DEF REGION,F10AK0052 10
,SURROUNDING,,,,,,
AK Nome Census Area,"NOME,",,,CON/HTRW,POD POA,NOME AREA DEF REGION,F10AK0052 11
,SURROUNDING,,,,,,
AK Nome Census Area,"NOME, WEST OF",,,BD/DR,POD POA,CAPE RODNEY (MIL SITE),F10AK0294 01
AK Nome Census Area,"NOME, WEST OF",,,CON/HTRW,POD POA,CAPE RODNEY (MIL SITE),F10AK0294 02
AK Nome Census Area,"NOME, WEST OF",,,HTRW,POD POA,CAPE RODNEY (MIL SITE),F10AK0294 03
AK Nome Census Area,"NOME, WEST OF",,,CON/HTRW,POD POA,SLEDGE ISLAND,F10AK0614 01
AK North Slope Borough,"NORTH SLOPE,",,,BD/DR,POD POA,DEMARCATION BAY DEW,F10AK0010 01
AK North Slope Borough,"NORTH SLOPE,",,,CON/HTRW,POD POA,DEMARCATION BAY DEW,F10AK0010 02
,ANWR,,,,,,
AK North Slope Borough,"NORTH SLOPE,",,,HTRW,POD POA,DEMARCATION BAY DEW,F10AK0010 03
,ANWR,,,,,,
AK North Slope Borough,"NORTH SLOPE,",,,BD/DR,POD POA,CAPE THOMPSON NAV SITE,F10AK0001 01
,WEST,,,,,,
AK North Slope Borough,"NORTH SLOPE,",,,CON/HTRW,POD POA,CAPE THOMPSON NAV SITE,F10AK0001 02
,WEST,,,,,,
AK North Slope Borough,"NORTH SLOPE,",,,HTRW,POD POA,CAPE THOMPSON NAV SITE,F10AK0001 03
,WEST,,,,,,
AK Southeast Fairbanks Census,NORTHWAY,,,BD/DR,POD POA,NORTHWAY STAGING FLD,F10AK0347 01
Area,,,,,,,
AK Southeast Fairbanks Census,NORTHWAY,,,CON/HTRW,POD POA,NORTHWAY STAGING FLD,F10AK0347 02
Area,,,,,,,
AK Southeast Fairbanks Census,NORTHWAY,,,HTRW,POD POA,NORTHWAY STAGING FLD,F10AK0347 03
Area,,,,,,,
AK Southeast Fairbanks Census,NORTHWAY,,,HTRW,POD POA,NORTHWAY STAGING FLD,F10AK0347 04
Area,,,,,,,
AK Southeast Fairbanks Census,NORTHWAY,,,HTRW,POD POA,NORTHWAY STAGING FLD,F10AK0347 05
Area,,,,,,,
AK Southeast Fairbanks Census,NORTHWAY,,,HTRW,POD POA,NORTHWAY STAGING FLD,F10AK0347 06
Area,,,,,,,
AK Southeast Fairbanks Census,NORTHWAY,,,PRP/HTRW,POD POA,NORTHWAY STAGING FLD,F10AK0347 07
AK Southeast Fairbanks Census,NORTHWAY,,,CON/HTRW,POD POA,NORTHWAY ACS,F10AK0177 02
Area,JUNCTION,,,,,,
AK Southeast Fairbanks Census,NORTHWAY,,,HTRW,POD POA,NORTHWAY ACS,F10AK0177 03
Area,JUNCTION,,,,,,
AK North Slope Borough,"NR DEADHORSE,",,,HTRW,POD POA,MCINTYRE DEW STA(POW C,F10AK0023 03
,NSB,,,,,,
AK North Slope Borough,NR KAKTOVIK,,,BD/DR,POD POA,BROWNLOW POINT DEW,F10AK0005 01
AK North Slope Borough,NR KAKTOVIK,,,CON/HTRW,POD POA,BROWNLOW POINT DEW,F10AK0005 02
AK North Slope Borough,NR KAKTOVIK,,,HTRW,POD POA,BROWNLOW POINT DEW,F10AK0005 03
AK North Slope Borough,NR KAKTOVIK,,,HTRW,POD POA,BROWNLOW POINT DEW,F10AK0005 04
AK North Slope Borough,NR KAKTOVIK,,,CON/HTRW,POD POA,MANNING POINT DEW,F10AK0007 02
AK North Slope Borough,NR KAKTOVIK,,,HTRW,POD POA,MANNING POINT DEW,F10AK0007 03
AK North Slope Borough,NR KAKTOVIK,,,CON/HTRW,POD POA,MANNING POINT DEW,F10AK0007 04
AK North Slope Borough,"NR KAKTOVIK, NSB",,,BD/DR,POD POA,NUVAGAPAK PT DEW(BAR A,F10AK0009 01
AK North Slope Borough,"NR KAKTOVIK, NSB",,,CON/HTRW,POD POA,NUVAGAPAK PT DEW(BAR A,F10AK0009 02
AK North Slope Borough,"NR KAKTOVIK, NSB",,,HTRW,POD POA,NUVAGAPAK PT DEW(BAR A,F10AK0009 03
AK Sitka Borough,NW. OF SITKA,,,BD/DR,POD POA,FORT RAY,F10AK0349 01
AK North Slope Borough,POINT HOPE,,,CON/HTRW,POD POA,CAPE SABINE DEW(LIZ-A),F10AK0002 02
AK North Slope Borough,POINT HOPE,,,HTRW,POD POA,CAPE SABINE DEW(LIZ-A),F10AK0002 03
AK Lake And Peninsula Borough,PORT HEIDEN,,,CON/HTRW,POD POA,PORT HEIDEN,F10AK0027 02
AK Lake And Peninsula Borough,PORT HEIDEN,,,HTRW,POD POA,PORT HEIDEN,F10AK0027 03
AK Lake And Peninsula Borough,PORT HEIDEN,,,HTRW,POD POA,PORT HEIDEN,F10AK0027 04
AK Lake And Peninsula Borough,PORT HEIDEN,,,HTRW,POD POA,PORT HEIDEN,F10AK0027 05
AK Aleutians East Borough,PORT MOLLER,,,BD/DR,POD POA,PORT MOLLER,F10AK0028 01
AK Aleutians East Borough,PORT MOLLER,,,CON/HTRW,POD POA,PORT MOLLER,F10AK0028 02
AK Aleutians East Borough,PORT MOLLER,,,HTRW,POD POA,PORT MOLLER,F10AK0028 03
AK North Slope Borough,"PRUDOE BAY, SE.",,,CON/HTRW,POD POA,JUNIPER CK FUEL DUMP,F10AK0844 00
,OF,,,,,,
AK North Slope Borough,"PRUDOE BAY, SE.",,,HTRW,POD POA,JUNIPER CK FUEL DUMP,F10AK0844 01
,OF,,,,,,
AK North Slope Borough,"PT. BARROW, SW.",,,CON/HTRW,POD POA,SKULL CLIFF LORAN ANNEX DEW,F10AK0215 02
,OF,,,,,,
AK North Slope Borough,"PT. BARROW, SW.",,,HTRW,POD POA,SKULL CLIFF LORAN ANNEX DEW,F10AK0215 03
,OF,,,,,,
AK Kenai Peninsula Borough,S. OF SEWARD,,,CON/HTRW,POD POA,BARWELL ISLAND,F10AK0058 01
AK Kenai Peninsula Borough,SEWARD,,,CON/HTRW,POD POA,"CAINES HEAD, FT MCGILV",F10AK0039 02
AK Kenai Peninsula Borough,SEWARD,,,HTRW,POD POA,"CAINES HEAD, FT MCGILV",F10AK0039 03
AK Valdez-cordova Census Area,SEWARD/CORDOV,,,HTRW,POD POA,MIDDLETON ISL AFS,F10AK0158 03
AK Sitka Borough,SITKA,,,CON/HTRW,POD POA,"FORT ROUSSEAU, SITKA",F10AK0350 03
AK Sitka Borough,SITKA,,,HTRW,POD POA,"FORT ROUSSEAU, SITKA",F10AK0350 04
AK Sitka Borough,SITKA,,,HTRW,POD POA,"FORT ROUSSEAU, SITKA",F10AK0350 05
AK Sitka Borough,SITKA,,,CON/HTRW,POD POA,MT.EDGECUMBE/SITKA NOB,F10AK0496 02
AK Sitka Borough,SITKA,,,HTRW,POD POA,MT.EDGECUMBE/SITKA NOB,F10AK0496 03
AK Sitka Borough,SITKA,,,PRP/HTRW,POD POA,MT.EDGECUMBE/SITKA NOB,F10AK0496 04
AK Sitka Borough,"SITKA, NW. OF",,,CON/HTRW,POD POA,KASIANA ISLS BASE STA,F10AK0132 01
AK Sitka Borough,"SITKA, NW. OF",,,BD/DR,POD POA,KASIANA ISLS BASE STA,F10AK0132 02
AK Sitka Borough,"SITKA, SE. OF",,,CON/HTRW,POD POA,FORT PIERCE,F10AK0066 01
AK Sitka Borough,"SITKA, WEST -",,,CON/HTRW,POD POA,"FORT BABCOCK, SITKA",F10AK0353 03
,KRUZO,,,,,,
AK Sitka Borough,"SITKA, WEST -",,,HTRW,POD POA,"FORT BABCOCK, SITKA",F10AK0353 04
,KRUZO,,,,,,
AK Nome Census Area,ST LAWRENCE,,,BD/DR,POD POA,GAMBELL,F10AK0696 01
,ISLAND,,,,,,
AK Nome Census Area,ST LAWRENCE,,,CON/HTRW,POD POA,GAMBELL,F10AK0696 02
,ISLAND,,,,,,
AK Nome Census Area,ST LAWRENCE,,,HTRW,POD POA,GAMBELL,F10AK0696 03
,ISLAND,,,,,,
AK Nome Census Area,ST LAWRENCE,,,MMRP,POD POA,GAMBELL,F10AK0696 04
AK Nome Census Area,ST LAWRENCE,,,BD/DR,POD POA,NE CAPE (ST LAWRENCE ISLAND),F10AK0969 01
,ISLAND,,,,,,
AK Nome Census Area,ST LAWRENCE,,,CON/HTRW,POD POA,NE CAPE (ST LAWRENCE ISLAND),F10AK0969 02
,ISLAND,,,,,,
AK Nome Census Area,ST LAWRENCE,,,HTRW,POD POA,NE CAPE (ST LAWRENCE ISLAND),F10AK0969 03
,ISLAND,,,,,,
AK Nome Census Area,ST LAWRENCE,,,CON/HTRW,POD POA,NE CAPE (ST LAWRENCE ISLAND),F10AK0969 05
,ISLAND,,,,,,
AK Aleutians West Census Area,ST PAUL/ST,,,BD/DR,POD POA,ST PAUL/ST GEORGE,F10AK0861 01
,GEORGE,,,,,,
AK Nome Census Area,"TELLER, 20 MILES",,,CON/HTRW,POD POA,AM RIVER AIR BASE,F10AK0814 01
,N,,,,,,
AK Nome Census Area,"TELLER, NORTH",,,BD/DR,POD POA,TELLER SUPPLY,F10AK0231 01
,OF,,,,,,
AK Nome Census Area,TELLER/KOUGARO,,,BD/DR,POD POA,DAVIDSON-S LANDING,F10AK0086 01
,K,,,,,,
AK Nome Census Area,TELLER/KOUGARO,,,CON/HTRW,POD POA,DAVIDSON-S LANDING,F10AK0086 02
,K,,,,,,
AK Nome Census Area,TELLER/KOUGARO,,,HTRW,POD POA,DAVIDSON-S LANDING,F10AK0086 03
,K,,,,,,
AK Southeast Fairbanks Census,TOK,,,CON/HTRW,POD POA,TOK (ACS RADIO RELAY),F10AK0234 01
Area,,,,,,,
AK North Slope Borough,UMIAT,,,CON/HTRW,POD POA,UMIAT AFS,F10AK0243 02
AK North Slope Borough,UMIAT,,,HTRW,POD POA,UMIAT AFS,F10AK0243 03
AK North Slope Borough,UMIAT,,,HTRW,POD POA,UMIAT AFS,F10AK0243 05
AK North Slope Borough,UMIAT,,,HTRW,POD POA,UMIAT AFS,F10AK0243 06
AK North Slope Borough,UMIAT,,,HTRW,POD POA,UMIAT AFS,F10AK0243 07
AK North Slope Borough,UMIAT,,,HTRW,POD POA,UMIAT AFS,F10AK0243 08
AK North Slope Borough,UMIAT,,,HTRW,POD POA,UMIAT AFS,F10AK0243 09
AK North Slope Borough,UMIAT,,,CON/HTRW,POD POA,UMIAT AFS,F10AK0243 10
AK North Slope Borough,UMIAT,,,HTRW,POD POA,UMIAT AFS,F10AK0243 11
AK Nome Census Area,"UNALAKLEET, E.",,,BD/DR,POD POA,NORTH RIVER RRS ANX,F10AK0037 01
,OF,,,,,,
AK Nome Census Area,"UNALAKLEET, E.",,,CON/HTRW,POD POA,NORTH RIVER RRS ANX,F10AK0037 02
,OF,,,,,,
AK Nome Census Area,"UNALAKLEET, E.",,,HTRW,POD POA,NORTH RIVER RRS ANX,F10AK0037 03
,OF,,,,,,
AK Nome Census Area,"UNALAKLEET, NE.",,,BD/DR,POD POA,UNALAKLEET AFSTA,F10AK0036 01
AK Nome Census Area,"UNALAKLEET, NE.",,,CON/HTRW,POD POA,UNALAKLEET AFSTA,F10AK0036 02
AK Nome Census Area,"UNALAKLEET, NE.",,,HTRW,POD POA,UNALAKLEET AFSTA,F10AK0036 03
AK Nome Census Area,"UNALAKLEET, NE.",,,HTRW,POD POA,UNALAKLEET AFSTA,F10AK0036 05
AK Aleutians West Census Area,UNALASKA,,,CON/HTRW,POD POA,AMAKNAK,F10AK0841 01
AK Aleutians West Census Area,UNALASKA,,,PRP/HTRW,POD POA,AMAKNAK,F10AK0841 02
AK Aleutians West Census Area,UNALASKA,,,HTRW,POD POA,AMAKNAK,F10AK0841 03
AK Aleutians West Census Area,UNALASKA,,,HTRW,POD POA,AMAKNAK,F10AK0841 04
AK Aleutians West Census Area,UNALASKA,,,HTRW,POD POA,AMAKNAK,F10AK0841 05
AK Aleutians West Census Area,UNALASKA,,,HTRW,POD POA,AMAKNAK,F10AK0841 06
AK Aleutians West Census Area,UNALASKA,,,MMRP/CWM,POD POA,AMAKNAK,F10AK0841 07
AK Aleutians West Census Area,UNALASKA,,,CON/HTRW,POD POA,AMAKNAK,F10AK0841 08
AK Aleutians West Census Area,UNALASKA,,,MMRP,POD POA,AMAKNAK,F10AK0841 09
AK Aleutians West Census Area,UNALASKA,,,PRP/HTRW,POD POA,AMAKNAK,F10AK0841 10
AK Aleutians West Census Area,UNALASKA,,,CON/HTRW,POD POA,AMAKNAK,F10AK0841 11
AK Aleutians West Census Area,UNALASKA,,,CON/HTRW,POD POA,AMAKNAK,F10AK0841 12
AK Aleutians West Census Area,UNALASKA,,,HTRW,POD POA,UGADAGA BAY STA,F10AK0241 03
AK Aleutians West Census Area,"UNALASKA,",,,CON/HTRW,POD POA,CAPE PROMINENCE AWS,F10AK0806 01
,SOUTH OF,,,,,,
AK Aleutians East Borough,UNIMAK ISLAND,,,BD/DR,POD POA,CAPE SARICHEF,F10AK0502 01
AK Aleutians East Borough,UNIMAK ISLAND,,,CON/HTRW,POD POA,CAPE SARICHEF,F10AK0502 02
AK Aleutians East Borough,UNIMAK ISLAND,,,HTRW,POD POA,CAPE SARICHEF,F10AK0502 03
AK Aleutians East Borough,UNIMAK ISLAND,,,BD/DR,POD POA,SCOTCH CAP,F10AK0031 01
AK Aleutians East Borough,UNIMAK ISLAND,,,CON/HTRW,POD POA,SCOTCH CAP,F10AK0031 02
AK Aleutians East Borough,UNIMAK ISLAND,,,HTRW,POD POA,SCOTCH CAP,F10AK0031 03
AK North Slope Borough,WEST OF,,,BD/DR,POD POA,ICY CPE DEW STA(LIZ-B),F10AK0003 01
,PT.BARROW,,,,,,
AK North Slope Borough,WEST OF,,,CON/HTRW,POD POA,ICY CPE DEW STA(LIZ-B),F10AK0003 02
,PT.BARROW,,,,,,
AK North Slope Borough,WEST OF,,,HTRW,POD POA,ICY CPE DEW STA(LIZ-B),F10AK0003 03
,PT.BARROW,,,,,,
AK North Slope Borough,WEST OF,,,BD/DR,POD POA,PEARD BAY DEW (LIZ-C),F10AK0004 01
,PT.BARROW,,,,,,
AK North Slope Borough,WEST OF,,,CON/HTRW,POD POA,PEARD BAY DEW (LIZ-C),F10AK0004 02
,PT.BARROW,,,,,,
AK North Slope Borough,WEST OF,,,HTRW,POD POA,PEARD BAY DEW (LIZ-C),F10AK0004 03
,PT.BARROW,,,,,,
AK Valdez-cordova Census Area,WHITTIER,,,BD/DR,POD POA,PORT OF WHITTIER,F10AK1000 01
AK Valdez-cordova Census Area,WHITTIER,,,CON/HTRW,POD POA,PORT OF WHITTIER,F10AK1000 02
AK Valdez-cordova Census Area,WHITTIER,,,HTRW,POD POA,PORT OF WHITTIER,F10AK1000 03
AK Valdez-cordova Census Area,WHITTIER,,,HTRW,POD POA,PORT OF WHITTIER,F10AK1000 04
AK Valdez-cordova Census Area,WHITTIER,,,PRP/HTRW,POD POA,PORT OF WHITTIER,F10AK1000 05
AK Yakutat Borough,YAKUTAT,,,CON/HTRW,POD POA,CAPE YAKATAGA RRS,F10AK0788 02
AK Yakutat Borough,YAKUTAT,,,HTRW,POD POA,CAPE YAKATAGA RRS,F10AK0788 03
AK Yakutat Borough,YAKUTAT,,,PRP/HTRW,POD POA,CAPE YAKATAGA RRS,F10AK0788 04
AK Yakutat Borough,YAKUTAT,,,CON/HTRW,POD POA,YAKUTAT AFB,F10AK0606 01
AK Yakutat Borough,YAKUTAT,,,HTRW,POD POA,YAKUTAT AFB,F10AK0606 02
AK Yakutat Borough,YAKUTAT,,,CON/HTRW,POD POA,YAKUTAT AFB,F10AK0606 04
AK Yakutat Borough,YAKUTAT,,,CON/HTRW,POD POA,YAKUTAT AFB,F10AK0606 05
AK Yakutat Borough,YAKUTAT,,,CON/HTRW,POD POA,YAKUTAT AFB,F10AK0606 06
AK Yakutat Borough,YAKUTAT,,,CON/HTRW,POD POA,YAKUTAT AFB,F10AK0606 07
AK Yakutat Borough,"YAKUTAT, SW. OF",,,CON/HTRW,POD POA,OCEAN CAPE RR SITE,F10AK0747 01
AK Yakutat Borough,"YAKUTAT, SW. OF",,,HTRW,POD POA,OCEAN CAPE RR SITE,F10AK0747 03
